,trial_00,trial_01,trial_02,trial_03,trial_04,trial_05,trial_06,trial_07,trial_08,trial_09,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
sub-001,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-002,active_pic-absent_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-absent_3
sub-003,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,active_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-004,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,active_pic-present_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-present_3,active_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,inactive_pic-absent_3
sub-005,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,active_pic-present_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_2,inactive_pic-present_3,active_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3
sub-006,active_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-present_1,inactive_pic-absent_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-absent_3
sub-007,inactive_pic-absent_2,inactive_pic-absent_3,active_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-absent_3,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,active_pic-present_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-absent_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-present_3
sub-008,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,inactive_pic-present_3,active_pic-absent_2,active_pic-present_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-absent_2,inactive_pic-absent_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_0,active_pic-absent_1,inactive_pic-present_2,inactive_pic-present_3,active_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3
sub-009,inactive_pic-present_2,active_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,inactive_pic-absent_2,active_pic-present_3,active_pic-present_2,inactive_pic-absent_3,active_pic-present_0,inactive_pic-absent_1,inactive_pic-absent_0,active_pic-present_1,inactive_pic-present_2,active_pic-absent_3,active_pic-present_2,inactive_pic-absent_3,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,active_pic-present_2,inactive_pic-present_3,inactive_pic-absent_2,active_pic-present_3,inactive_pic-absent_0,active_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_2,inactive_pic-absent_3
sub-010,active_pic-present_2,active_pic-present_3,inactive_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-absent_1,active_pic-present_2,active_pic-absent_3,inactive_pic-absent_2,inactive_pic-present_3,active_pic-absent_0,inactive_pic-absent_1,inactive_pic-present_0,active_pic-absent_1,inactive_pic-present_2,active_pic-present_3,inactive_pic-absent_2,active_pic-absent_3,inactive_pic-present_0,inactive_pic-absent_1,active_pic-present_0,active_pic-present_1,inactive_pic-absent_2,active_pic-present_3,inactive_pic-present_2,inactive_pic-absent_3,active_pic-absent_0,inactive_pic-present_1,active_pic-absent_0,inactive_pic-present_1,active_pic-present_2,active_pic-absent_3
