,trial_00,trial_01,trial_02,trial_03,trial_04,trial_05,trial_06,trial_07,trial_08,trial_09,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
sub-001,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3
sub-002,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3
sub-003,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3
sub-004,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3
sub-005,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3
sub-006,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3
sub-007,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3
sub-008,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3
sub-009,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3
sub-010,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3
sub-011,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,active_0,inactive_1,inactive_2,active_3
sub-012,active_0,inactive_1,inactive_2,active_3,active_0,inactive_1,inactive_2,active_3,inactive_0,active_1,active_2,inactive_3,inactive_0,active_1,active_2,inactive_3
