,times,neutral,z1,z2,z3,z4,z5
0,0.12259340286254883,37.8,37.5,37.6,37.5,37.6,37.6
1,0.23454070091247559,37.8,37.5,37.5,37.6,37.6,37.6
2,0.34616756439208984,37.8,37.6,37.6,37.7,37.7,37.8
3,0.4587900638580322,37.8,38.4,38.3,38.4,38.4,38.6
4,0.5704166889190674,37.8,39.7,39.6,39.6,39.7,39.9
5,0.6830365657806396,37.7,40.9,40.8,40.8,40.9,41.1
6,0.7946665287017822,37.7,41.9,41.9,41.9,41.9,42.2
7,0.9072868824005127,37.6,43.1,43.0,43.0,43.1,43.4
8,1.018916130065918,37.6,44.3,44.1,44.2,44.2,44.5
9,1.1305429935455322,37.6,44.9,44.8,44.9,44.9,45.1
10,1.2431657314300537,37.5,44.9,44.9,44.9,44.9,45.1
11,1.3547921180725098,37.5,44.8,44.8,44.8,44.8,45.0
12,1.466928243637085,37.5,44.9,44.8,44.9,44.9,45.1
13,1.5785579681396484,37.5,44.9,44.9,44.9,44.9,45.1
14,1.6905624866485596,37.5,44.9,44.9,44.9,44.9,45.1
15,1.8031857013702393,37.5,44.9,44.9,44.9,44.9,45.1
16,1.9148118495941162,37.5,45.0,44.9,44.9,45.0,45.1
17,2.027435302734375,37.5,45.0,44.9,45.0,45.0,45.1
18,2.139061689376831,37.5,45.0,44.9,45.0,45.0,45.1
19,2.2516849040985107,37.5,45.0,45.0,45.0,45.0,45.1
20,2.363311290740967,37.5,45.0,45.0,45.0,45.0,45.2
21,2.4759345054626465,37.6,45.0,45.0,45.0,45.0,45.2
22,2.5875608921051025,37.6,45.0,45.0,45.0,45.0,45.2
23,2.6991844177246094,37.6,45.0,45.0,45.0,45.0,45.2
24,2.8113226890563965,37.6,45.0,45.0,45.0,45.0,45.2
25,2.9239490032196045,37.6,45.0,45.0,45.0,45.0,45.2
26,3.03495717048645,37.6,45.0,45.0,45.0,45.0,45.2
27,3.147580146789551,37.6,45.0,45.0,45.0,45.0,45.2
28,3.2602038383483887,37.6,45.0,45.0,45.0,45.1,45.2
29,3.3718297481536865,37.6,45.0,45.0,45.0,45.1,45.2
30,3.4834530353546143,37.6,45.0,45.0,45.0,45.1,45.2
31,3.5960795879364014,37.6,45.0,45.0,45.1,45.1,45.2
32,3.7077062129974365,37.6,45.0,45.0,45.1,45.1,45.2
33,3.820329189300537,37.7,45.1,45.0,45.1,45.1,45.2
