participant,condition,pic_presence,pic_response,trials.thisN,loop_eval_discri.thisN,loop_discri.thisRepN,actual_trial,accuracy,detection_type,exclude
sub-007,inactive,pic-absent,0,0.0,0.0,0.0,9,1,correct rejection,0
sub-007,inactive,pic-absent,1,0.0,0.0,1.0,9,0,false alarm,0
sub-007,active,pic-present,1,0.0,0.0,2.0,9,1,hit,0
sub-007,active,pic-absent,0,0.0,0.0,3.0,9,1,correct rejection,0
sub-007,inactive,pic-present,1,0.0,1.0,0.0,10,1,hit,0
sub-007,active,pic-absent,0,0.0,1.0,1.0,10,1,correct rejection,0
sub-007,inactive,pic-present,1,0.0,1.0,2.0,10,1,hit,0
sub-007,inactive,pic-absent,0,0.0,1.0,3.0,10,1,correct rejection,0
sub-007,active,pic-present,1,0.0,2.0,0.0,11,1,hit,0
sub-007,active,pic-present,1,0.0,2.0,1.0,11,1,hit,0
sub-007,inactive,pic-absent,0,0.0,2.0,2.0,11,1,correct rejection,0
sub-007,inactive,pic-present,1,0.0,2.0,3.0,11,1,hit,0
sub-007,active,pic-absent,0,0.0,3.0,0.0,12,1,correct rejection,0
sub-007,inactive,pic-present,1,0.0,3.0,1.0,12,1,hit,0
sub-007,active,pic-absent,0,0.0,3.0,2.0,12,1,correct rejection,0
sub-007,active,pic-present,1,0.0,3.0,3.0,12,1,hit,0
sub-007,active,pic-present,1,1.0,0.0,0.0,21,1,hit,0
sub-007,inactive,pic-absent,0,1.0,0.0,1.0,21,1,correct rejection,0
sub-007,inactive,pic-present,1,1.0,0.0,2.0,21,1,hit,0
sub-007,active,pic-absent,0,1.0,0.0,3.0,21,1,correct rejection,0
sub-007,inactive,pic-present,1,1.0,1.0,0.0,22,1,hit,0
sub-007,active,pic-absent,0,1.0,1.0,1.0,22,1,correct rejection,0
sub-007,active,pic-present,1,1.0,1.0,2.0,22,1,hit,0
sub-007,inactive,pic-absent,0,1.0,1.0,3.0,22,1,correct rejection,0
sub-007,active,pic-absent,0,1.0,2.0,0.0,23,1,correct rejection,0
sub-007,active,pic-present,1,1.0,2.0,1.0,23,1,hit,0
sub-007,inactive,pic-absent,0,1.0,2.0,2.0,23,1,correct rejection,0
sub-007,active,pic-present,1,1.0,2.0,3.0,23,1,hit,0
sub-007,inactive,pic-absent,0,1.0,3.0,0.0,24,1,correct rejection,0
sub-007,inactive,pic-present,1,1.0,3.0,1.0,24,1,hit,0
sub-007,active,pic-absent,0,1.0,3.0,2.0,24,1,correct rejection,0
sub-007,inactive,pic-present,1,1.0,3.0,3.0,24,1,hit,0
sub-010,active,pic-present,1,0.0,0.0,0.0,9,1,hit,0
sub-010,active,pic-present,1,0.0,0.0,1.0,9,1,hit,0
sub-010,inactive,pic-absent,1,0.0,0.0,2.0,9,0,false alarm,0
sub-010,inactive,pic-present,1,0.0,0.0,3.0,9,1,hit,0
sub-010,active,pic-absent,1,0.0,1.0,0.0,10,0,false alarm,0
sub-010,inactive,pic-absent,0,0.0,1.0,1.0,10,1,correct rejection,0
sub-010,active,pic-present,1,0.0,1.0,2.0,10,1,hit,0
sub-010,active,pic-absent,1,0.0,1.0,3.0,10,0,false alarm,0
sub-010,inactive,pic-absent,1,0.0,2.0,0.0,11,0,false alarm,0
sub-010,inactive,pic-present,1,0.0,2.0,1.0,11,1,hit,0
sub-010,active,pic-absent,1,0.0,2.0,2.0,11,0,false alarm,0
sub-010,inactive,pic-absent,0,0.0,2.0,3.0,11,1,correct rejection,0
sub-010,inactive,pic-present,1,0.0,3.0,0.0,12,1,hit,0
sub-010,active,pic-absent,0,0.0,3.0,1.0,12,1,correct rejection,0
sub-010,inactive,pic-present,1,0.0,3.0,2.0,12,1,hit,0
sub-010,active,pic-present,1,0.0,3.0,3.0,12,1,hit,0
sub-010,inactive,pic-absent,1,1.0,0.0,0.0,21,0,false alarm,0
sub-010,active,pic-absent,1,1.0,0.0,1.0,21,0,false alarm,0
sub-010,inactive,pic-present,1,1.0,0.0,2.0,21,1,hit,0
sub-010,inactive,pic-absent,0,1.0,0.0,3.0,21,1,correct rejection,0
sub-010,active,pic-present,1,1.0,1.0,0.0,22,1,hit,0
sub-010,active,pic-present,1,1.0,1.0,1.0,22,1,hit,0
sub-010,inactive,pic-absent,1,1.0,1.0,2.0,22,0,false alarm,0
sub-010,active,pic-present,1,1.0,1.0,3.0,22,1,hit,0
sub-010,inactive,pic-present,1,1.0,2.0,0.0,23,1,hit,0
sub-010,inactive,pic-absent,0,1.0,2.0,1.0,23,1,correct rejection,0
sub-010,active,pic-absent,1,1.0,2.0,2.0,23,0,false alarm,0
sub-010,inactive,pic-present,1,1.0,2.0,3.0,23,1,hit,0
sub-010,active,pic-absent,1,1.0,3.0,0.0,24,0,false alarm,0
sub-010,inactive,pic-present,1,1.0,3.0,1.0,24,1,hit,0
sub-010,active,pic-present,1,1.0,3.0,2.0,24,1,hit,0
sub-010,active,pic-absent,1,1.0,3.0,3.0,24,0,false alarm,0
sub-012,active,pic-absent,0,0.0,0.0,0.0,9,1,correct rejection,0
sub-012,inactive,pic-present,1,0.0,0.0,1.0,9,1,hit,0
sub-012,active,pic-absent,1,0.0,0.0,2.0,9,0,false alarm,0
sub-012,active,pic-present,1,0.0,0.0,3.0,9,1,hit,0
sub-012,inactive,pic-absent,1,0.0,1.0,0.0,10,0,false alarm,0
sub-012,active,pic-absent,1,0.0,1.0,1.0,10,0,false alarm,0
sub-012,inactive,pic-present,0,0.0,1.0,2.0,10,0,miss,0
