statistic,value
n_final_sample,57
n_males,17
n_females,39
n_nonbinary,1
age_mean,26.95
age_sd,9.14
age_min,18
age_max,58
n_excluded_custom,3
excluded_custom,sub-052; sub-057; sub-070
n_excluded_perfect_belowchance,0
excluded_perfect_belowchance,
n_excluded_low_placebo,0
excluded_low_placebo,
placebo_effect_mean_pct,11.37
placebo_effect_min_pct,-40.91
placebo_effect_max_pct,47.65
placebo_effect_sd_pct,18.72
anova_condition_F,30.72
anova_condition_p,8.32034152168627e-07
anova_condition_df1,1
anova_condition_df2,56
anova_condition_eta2,0.03
anova_block_F,5.12
anova_block_p,0.0275
anova_block_df1,1
anova_block_df2,56
anova_block_eta2,0.005
anova_interaction_F,1.3
anova_interaction_p,0.2584
anova_interaction_df1,1
anova_interaction_df2,56
anova_interaction_eta2,0.001
pain_ttest_t,-5.54
pain_ttest_p,8.320341521686183e-07
pain_ttest_df,56
pain_ttest_d,0.36
acc_overall_mean,75.65
acc_overall_min,18.75
acc_overall_max,100.0
acc_overall_sd,17.05
acc_overall_ci_lower,71.13
acc_overall_ci_upper,80.17
acc_active_mean,75.37
acc_active_min,31.25
acc_active_max,100.0
acc_active_sd,18.69
acc_active_ci_lower,70.41
acc_active_ci_upper,80.33
acc_inactive_mean,75.94
acc_inactive_min,6.25
acc_inactive_max,100.0
acc_inactive_sd,17.78
acc_inactive_ci_lower,71.23
acc_inactive_ci_upper,80.66
discrim_ttest_t,0.33
discrim_ttest_p,0.7403
discrim_ttest_df,56
discrim_ttest_dz,0.03
discrim_BF10,0.153
tost_mean_diff,0.006
tost_sd_diff,0.129
tost_bounds_cohen_d,0.45
tost_lower_t,3.73
tost_lower_p,0.00022393568808470998
tost_lower_df,56
tost_upper_t,-3.06
tost_upper_p,0.0017
tost_upper_df,56
tost_p,0.0016763343053399883
corr_placebo_acc_r,0.18
corr_placebo_acc_p,0.1722
corr_placebo_acc_n,57
corr_staiy1_placebo_r,-0.0
corr_staiy1_placebo_p,0.9869
corr_staiy1_acc_r,-0.02
corr_staiy1_acc_p,0.8601
corr_staiy2_placebo_r,-0.01
corr_staiy2_placebo_p,0.9342
corr_staiy2_acc_r,0.07
corr_staiy2_acc_p,0.5821
corr_pcs_placebo_r,0.15
corr_pcs_placebo_p,0.2633
corr_pcs_acc_r,0.06
corr_pcs_acc_p,0.643
temp_plateau_mean,45.8
temp_plateau_min,41.8
temp_plateau_max,49.4
temp_plateau_sd,1.66
temp_placebo_mean,44.03
temp_placebo_min,41.0
temp_placebo_max,48.2
temp_placebo_sd,1.89
temp_pic_mean,0.77
temp_pic_min,0.38
temp_pic_max,1.0
temp_pic_sd,0.17
