,participant,discrim_missed_responses
0,sub-007,0.0
1,sub-010,0.0
2,sub-012,0.0
4,sub-014,2.0
6,sub-016,1.0
8,sub-018,0.0
11,sub-021,0.0
13,sub-023,0.0
14,sub-024,0.0
15,sub-025,0.0
16,sub-026,0.0
17,sub-027,0.0
18,sub-028,0.0
20,sub-030,0.0
21,sub-031,0.0
22,sub-032,0.0
25,sub-035,0.0
26,sub-036,0.0
27,sub-037,0.0
28,sub-038,0.0
30,sub-040,0.0
31,sub-041,0.0
32,sub-042,0.0
33,sub-043,0.0
34,sub-044,1.0
35,sub-045,0.0
36,sub-046,0.0
38,sub-048,0.0
39,sub-049,0.0
40,sub-050,0.0
41,sub-051,0.0
43,sub-053,0.0
45,sub-055,0.0
48,sub-058,0.0
49,sub-059,0.0
50,sub-060,0.0
52,sub-062,0.0
53,sub-063,0.0
54,sub-064,0.0
55,sub-066,0.0
56,sub-067,0.0
58,sub-069,0.0
61,sub-072,0.0
62,sub-073,0.0
64,sub-075,0.0
65,sub-076,1.0
