statistic,value
n_final_sample,44
n_males,12
n_females,31
n_nonbinary,1
age_mean,28.02
age_sd,9.9
age_min,19
age_max,58
n_excluded_custom,3
excluded_custom,sub-052; sub-057; sub-070
n_excluded_perfect_belowchance,7
excluded_perfect_belowchance,sub-015; sub-017; sub-019; sub-020; sub-033; sub-034; sub-054
n_excluded_low_placebo,9
excluded_low_placebo,sub-013; sub-022; sub-029; sub-039; sub-047; sub-056; sub-061; sub-068; sub-071
placebo_effect_mean_pct,17.06
placebo_effect_min_pct,0.57
placebo_effect_max_pct,47.65
placebo_effect_sd_pct,11.73
anova_condition_F,97.0
anova_condition_p,1.3669189765734702e-12
anova_condition_df1,1
anova_condition_df2,43
anova_condition_eta2,0.061
anova_block_F,2.69
anova_block_p,0.1085
anova_block_df1,1
anova_block_df2,43
anova_block_eta2,0.004
anova_interaction_F,0.01
anova_interaction_p,0.9419
anova_interaction_df1,1
anova_interaction_df2,43
anova_interaction_eta2,0.0
pain_ttest_t,-9.85
pain_ttest_p,1.3669189765734149e-12
pain_ttest_df,43
pain_ttest_d,0.53
acc_overall_mean,78.04
acc_overall_min,53.12
acc_overall_max,96.88
acc_overall_sd,13.0
acc_overall_ci_lower,74.09
acc_overall_ci_upper,81.99
acc_active_mean,76.68
acc_active_min,37.5
acc_active_max,100.0
acc_active_sd,16.02
acc_active_ci_lower,71.81
acc_active_ci_upper,81.55
acc_inactive_mean,79.42
acc_inactive_min,56.25
acc_inactive_max,100.0
acc_inactive_sd,13.07
acc_inactive_ci_lower,75.45
acc_inactive_ci_upper,83.4
discrim_ttest_t,1.37
discrim_ttest_p,0.1793
discrim_ttest_df,43
discrim_ttest_dz,0.19
discrim_BF10,0.387
tost_mean_diff,0.027
tost_sd_diff,0.133
tost_bounds_cohen_d,0.45
tost_lower_t,4.35
tost_lower_p,4.109602230223438e-05
tost_lower_df,43
tost_upper_t,-1.62
tost_upper_p,0.0563
tost_upper_df,43
tost_p,0.05630789441841374
corr_placebo_acc_r,0.02
corr_placebo_acc_p,0.9102
corr_placebo_acc_n,44
corr_placebo_acc_BF10,0.189
corr_staiy1_placebo_r,0.06
corr_staiy1_placebo_p,0.6902
corr_staiy1_acc_r,0.17
corr_staiy1_acc_p,0.271
corr_staiy2_placebo_r,0.12
corr_staiy2_placebo_p,0.4269
corr_staiy2_acc_r,0.35
corr_staiy2_acc_p,0.0217
corr_pcs_placebo_r,0.27
corr_pcs_placebo_p,0.093
corr_pcs_acc_r,0.26
corr_pcs_acc_p,0.0949
temp_plateau_mean,45.82
temp_plateau_min,41.8
temp_plateau_max,48.8
temp_plateau_sd,1.62
temp_placebo_mean,44.15
temp_placebo_min,41.0
temp_placebo_max,48.2
temp_placebo_sd,1.79
temp_pic_mean,0.79
temp_pic_min,0.4
temp_pic_max,1.0
temp_pic_sd,0.17
