participant,condition,pic_presence,pic_response,trials.thisN,loop_eval_discri.thisN,loop_discri.thisRepN,discrimin_resp.rt,actual_trial,accuracy,detection_type,reaction_time,reaction_time_good,reaction_time_bad,exclude
sub-007,inactive,pic-absent,0,0.0,0.0,0.0,0.5881847999999081,9,1,correct rejection,0.5881847999999081,0.5881847999999081,,0
sub-007,inactive,pic-absent,1,0.0,0.0,1.0,0.8969295999995666,9,0,false alarm,0.8969295999995666,,0.8969295999995666,0
sub-007,active,pic-present,1,0.0,0.0,2.0,0.4666319999996631,9,1,hit,0.4666319999996631,0.4666319999996631,,0
sub-007,active,pic-absent,0,0.0,0.0,3.0,0.5561706999997114,9,1,correct rejection,0.5561706999997114,0.5561706999997114,,0
sub-007,inactive,pic-present,1,0.0,1.0,0.0,0.4539213999996718,10,1,hit,0.4539213999996718,0.4539213999996718,,0
sub-007,active,pic-absent,0,0.0,1.0,1.0,0.85552110000026,10,1,correct rejection,0.85552110000026,0.85552110000026,,0
sub-007,inactive,pic-present,1,0.0,1.0,2.0,0.3365873000002466,10,1,hit,0.3365873000002466,0.3365873000002466,,0
sub-007,inactive,pic-absent,0,0.0,1.0,3.0,0.3786681999999928,10,1,correct rejection,0.3786681999999928,0.3786681999999928,,0
sub-007,active,pic-present,1,0.0,2.0,0.0,0.4323909000004278,11,1,hit,0.4323909000004278,0.4323909000004278,,0
sub-007,active,pic-present,1,0.0,2.0,1.0,0.5501075000001947,11,1,hit,0.5501075000001947,0.5501075000001947,,0
sub-007,inactive,pic-absent,0,0.0,2.0,2.0,0.5916886999993949,11,1,correct rejection,0.5916886999993949,0.5916886999993949,,0
sub-007,inactive,pic-present,1,0.0,2.0,3.0,0.3970854999997755,11,1,hit,0.3970854999997755,0.3970854999997755,,0
sub-007,active,pic-absent,0,0.0,3.0,0.0,1.0383430999991106,12,1,correct rejection,1.0383430999991106,1.0383430999991106,,0
sub-007,inactive,pic-present,1,0.0,3.0,1.0,0.3757820999999239,12,1,hit,0.3757820999999239,0.3757820999999239,,0
sub-007,active,pic-absent,0,0.0,3.0,2.0,0.4651190000004135,12,1,correct rejection,0.4651190000004135,0.4651190000004135,,0
sub-007,active,pic-present,1,0.0,3.0,3.0,0.4585398000008354,12,1,hit,0.4585398000008354,0.4585398000008354,,0
sub-007,active,pic-present,1,1.0,0.0,0.0,0.4343334000004688,21,1,hit,0.4343334000004688,0.4343334000004688,,0
sub-007,inactive,pic-absent,0,1.0,0.0,1.0,0.4597290999990946,21,1,correct rejection,0.4597290999990946,0.4597290999990946,,0
sub-007,inactive,pic-present,1,1.0,0.0,2.0,0.7808022999997775,21,1,hit,0.7808022999997775,0.7808022999997775,,0
sub-007,active,pic-absent,0,1.0,0.0,3.0,0.6383779000007053,21,1,correct rejection,0.6383779000007053,0.6383779000007053,,0
sub-007,inactive,pic-present,1,1.0,1.0,0.0,0.3764479000001302,22,1,hit,0.3764479000001302,0.3764479000001302,,0
sub-007,active,pic-absent,0,1.0,1.0,1.0,0.5411278999999922,22,1,correct rejection,0.5411278999999922,0.5411278999999922,,0
sub-007,active,pic-present,1,1.0,1.0,2.0,0.4431733999990683,22,1,hit,0.4431733999990683,0.4431733999990683,,0
sub-007,inactive,pic-absent,0,1.0,1.0,3.0,0.531915300000037,22,1,correct rejection,0.531915300000037,0.531915300000037,,0
sub-007,active,pic-absent,0,1.0,2.0,0.0,0.6528698000001896,23,1,correct rejection,0.6528698000001896,0.6528698000001896,,0
sub-007,active,pic-present,1,1.0,2.0,1.0,0.524967999999717,23,1,hit,0.524967999999717,0.524967999999717,,0
sub-007,inactive,pic-absent,0,1.0,2.0,2.0,1.0347776999988127,23,1,correct rejection,1.0347776999988127,1.0347776999988127,,0
sub-007,active,pic-present,1,1.0,2.0,3.0,0.5603059999994002,23,1,hit,0.5603059999994002,0.5603059999994002,,0
sub-007,inactive,pic-absent,0,1.0,3.0,0.0,0.4802337999990413,24,1,correct rejection,0.4802337999990413,0.4802337999990413,,0
sub-007,inactive,pic-present,1,1.0,3.0,1.0,0.4089553999983764,24,1,hit,0.4089553999983764,0.4089553999983764,,0
sub-007,active,pic-absent,0,1.0,3.0,2.0,0.3584095999995043,24,1,correct rejection,0.3584095999995043,0.3584095999995043,,0
sub-007,inactive,pic-present,1,1.0,3.0,3.0,0.5884007000004203,24,1,hit,0.5884007000004203,0.5884007000004203,,0
sub-010,active,pic-present,1,0.0,0.0,0.0,0.5466512000130024,9,1,hit,0.5466512000130024,0.5466512000130024,,0
sub-010,active,pic-present,1,0.0,0.0,1.0,0.6028490000026068,9,1,hit,0.6028490000026068,0.6028490000026068,,0
sub-010,inactive,pic-absent,1,0.0,0.0,2.0,0.4686051000026054,9,0,false alarm,0.4686051000026054,,0.4686051000026054,0
sub-010,inactive,pic-present,1,0.0,0.0,3.0,0.3363225999928545,9,1,hit,0.3363225999928545,0.3363225999928545,,0
sub-010,active,pic-absent,1,0.0,1.0,0.0,0.4116846999968402,10,0,false alarm,0.4116846999968402,,0.4116846999968402,0
sub-010,inactive,pic-absent,0,0.0,1.0,1.0,0.4155772000085562,10,1,correct rejection,0.4155772000085562,0.4155772000085562,,0
sub-010,active,pic-present,1,0.0,1.0,2.0,0.3288144999969518,10,1,hit,0.3288144999969518,0.3288144999969518,,0
sub-010,active,pic-absent,1,0.0,1.0,3.0,0.3807598000130383,10,0,false alarm,0.3807598000130383,,0.3807598000130383,0
sub-010,inactive,pic-absent,1,0.0,2.0,0.0,0.3187697999965166,11,0,false alarm,0.3187697999965166,,0.3187697999965166,0
sub-010,inactive,pic-present,1,0.0,2.0,1.0,0.2776194000034593,11,1,hit,0.2776194000034593,0.2776194000034593,,0
sub-010,active,pic-absent,1,0.0,2.0,2.0,0.3753087999939453,11,0,false alarm,0.3753087999939453,,0.3753087999939453,0
sub-010,inactive,pic-absent,0,0.0,2.0,3.0,0.6152870999940205,11,1,correct rejection,0.6152870999940205,0.6152870999940205,,0
sub-010,inactive,pic-present,1,0.0,3.0,0.0,0.3696066999982577,12,1,hit,0.3696066999982577,0.3696066999982577,,0
sub-010,active,pic-absent,0,0.0,3.0,1.0,0.4218027999886544,12,1,correct rejection,0.4218027999886544,0.4218027999886544,,0
sub-010,inactive,pic-present,1,0.0,3.0,2.0,0.3306568000116385,12,1,hit,0.3306568000116385,0.3306568000116385,,0
sub-010,active,pic-present,1,0.0,3.0,3.0,0.3828589000040665,12,1,hit,0.3828589000040665,0.3828589000040665,,0
sub-010,inactive,pic-absent,1,1.0,0.0,0.0,0.4908614000014495,21,0,false alarm,0.4908614000014495,,0.4908614000014495,0
sub-010,active,pic-absent,1,1.0,0.0,1.0,0.3562518000107957,21,0,false alarm,0.3562518000107957,,0.3562518000107957,0
sub-010,inactive,pic-present,1,1.0,0.0,2.0,0.4072128999978304,21,1,hit,0.4072128999978304,0.4072128999978304,,0
sub-010,inactive,pic-absent,0,1.0,0.0,3.0,0.9315477999916766,21,1,correct rejection,0.9315477999916766,0.9315477999916766,,0
sub-010,active,pic-present,1,1.0,1.0,0.0,0.2645157999941148,22,1,hit,0.2645157999941148,0.2645157999941148,,0
sub-010,active,pic-present,1,1.0,1.0,1.0,0.5610228000005009,22,1,hit,0.5610228000005009,0.5610228000005009,,0
sub-010,inactive,pic-absent,1,1.0,1.0,2.0,0.369286800007103,22,0,false alarm,0.369286800007103,,0.369286800007103,0
sub-010,active,pic-present,1,1.0,1.0,3.0,0.4263402999931713,22,1,hit,0.4263402999931713,0.4263402999931713,,0
sub-010,inactive,pic-present,1,1.0,2.0,0.0,0.3795299000048544,23,1,hit,0.3795299000048544,0.3795299000048544,,0
sub-010,inactive,pic-absent,0,1.0,2.0,1.0,1.324519000001601,23,1,correct rejection,1.324519000001601,1.324519000001601,,0
sub-010,active,pic-absent,1,1.0,2.0,2.0,0.4852822000102605,23,0,false alarm,0.4852822000102605,,0.4852822000102605,0
sub-010,inactive,pic-present,1,1.0,2.0,3.0,0.3023217000009026,23,1,hit,0.3023217000009026,0.3023217000009026,,0
sub-010,active,pic-absent,1,1.0,3.0,0.0,0.3374686999886762,24,0,false alarm,0.3374686999886762,,0.3374686999886762,0
sub-010,inactive,pic-present,1,1.0,3.0,1.0,0.3930567000061273,24,1,hit,0.3930567000061273,0.3930567000061273,,0
sub-010,active,pic-present,1,1.0,3.0,2.0,0.3972892999881878,24,1,hit,0.3972892999881878,0.3972892999881878,,0
sub-010,active,pic-absent,1,1.0,3.0,3.0,0.3583406999969156,24,0,false alarm,0.3583406999969156,,0.3583406999969156,0
sub-012,active,pic-absent,0,0.0,0.0,0.0,2.277016800013371,9,1,correct rejection,2.277016800013371,2.277016800013371,,0
sub-012,inactive,pic-present,1,0.0,0.0,1.0,1.109421500004828,9,1,hit,1.109421500004828,1.109421500004828,,0
sub-012,active,pic-absent,1,0.0,0.0,2.0,1.3545291000045836,9,0,false alarm,1.3545291000045836,,1.3545291000045836,0
sub-012,active,pic-present,1,0.0,0.0,3.0,1.175066499970853,9,1,hit,1.175066499970853,1.175066499970853,,0
sub-012,inactive,pic-absent,1,0.0,1.0,0.0,1.3042842999566346,10,0,false alarm,1.3042842999566346,,1.3042842999566346,0
sub-012,active,pic-absent,1,0.0,1.0,1.0,1.0330035999650136,10,0,false alarm,1.0330035999650136,,1.0330035999650136,0
sub-012,inactive,pic-present,0,0.0,1.0,2.0,1.6531644000206145,10,0,miss,1.6531644000206145,,1.6531644000206145,0
sub-012,active,pic-absent,1,0.0,1.0,3.0,0.8168043999467045,10,0,false alarm,0.8168043999467045,,0.8168043999467045,0
sub-012,inactive,pic-present,1,0.0,2.0,0.0,0.729254600009881,11,1,hit,0.729254600009881,0.729254600009881,,0
sub-012,active,pic-present,1,0.0,2.0,1.0,0.6454912000335753,11,1,hit,0.6454912000335753,0.6454912000335753,,0
sub-012,inactive,pic-absent,1,0.0,2.0,2.0,0.8425000999122858,11,0,false alarm,0.8425000999122858,,0.8425000999122858,0
sub-012,inactive,pic-absent,0,0.0,2.0,3.0,0.9459706000052392,11,1,correct rejection,0.9459706000052392,0.9459706000052392,,0
sub-012,active,pic-present,1,0.0,3.0,0.0,0.7775561000453308,12,1,hit,0.7775561000453308,0.7775561000453308,,0
sub-012,inactive,pic-absent,0,0.0,3.0,1.0,1.305593500030227,12,1,correct rejection,1.305593500030227,1.305593500030227,,0
sub-012,active,pic-present,1,0.0,3.0,2.0,0.7497069999808446,12,1,hit,0.7497069999808446,0.7497069999808446,,0
sub-012,inactive,pic-present,1,0.0,3.0,3.0,0.8027252000756562,12,1,hit,0.8027252000756562,0.8027252000756562,,0
sub-012,inactive,pic-present,1,1.0,0.0,0.0,1.285950900055468,21,1,hit,1.285950900055468,1.285950900055468,,0
sub-012,active,pic-absent,1,1.0,0.0,1.0,1.7176448000827804,21,0,false alarm,1.7176448000827804,,1.7176448000827804,0
sub-012,inactive,pic-present,1,1.0,0.0,2.0,1.214396100025624,21,1,hit,1.214396100025624,1.214396100025624,,0
sub-012,active,pic-absent,0,1.0,0.0,3.0,1.4551645999308676,21,1,correct rejection,1.4551645999308676,1.4551645999308676,,0
sub-012,active,pic-present,1,1.0,1.0,0.0,0.7733522999333218,22,1,hit,0.7733522999333218,0.7733522999333218,,0
sub-012,inactive,pic-absent,0,1.0,1.0,1.0,1.254407100030221,22,1,correct rejection,1.254407100030221,1.254407100030221,,0
sub-012,inactive,pic-absent,1,1.0,1.0,2.0,0.9348749999189748,22,0,false alarm,0.9348749999189748,,0.9348749999189748,0
sub-012,active,pic-present,1,1.0,1.0,3.0,0.7538773000705987,22,1,hit,0.7538773000705987,0.7538773000705987,,0
sub-012,active,pic-absent,1,1.0,2.0,0.0,1.2514471999602392,23,0,false alarm,1.2514471999602392,,1.2514471999602392,0
sub-012,inactive,pic-present,1,1.0,2.0,1.0,0.9759358000010252,23,1,hit,0.9759358000010252,0.9759358000010252,,0
sub-012,active,pic-absent,0,1.0,2.0,2.0,1.4602533000288531,23,1,correct rejection,1.4602533000288531,1.4602533000288531,,0
sub-012,inactive,pic-present,1,1.0,2.0,3.0,1.139956400031224,23,1,hit,1.139956400031224,1.139956400031224,,0
sub-012,inactive,pic-absent,0,1.0,3.0,0.0,1.2407162999734282,24,1,correct rejection,1.2407162999734282,1.2407162999734282,,0
sub-012,active,pic-present,1,1.0,3.0,1.0,1.0622507000807673,24,1,hit,1.0622507000807673,1.0622507000807673,,0
sub-012,active,pic-present,1,1.0,3.0,2.0,0.7900180000578985,24,1,hit,0.7900180000578985,0.7900180000578985,,0
