statistic,value
n_final_sample,56
n_males,17
n_females,38
n_nonbinary,1
age_mean,27.45
age_sd,9.08
age_min,19
age_max,58
n_excluded_custom,3
excluded_custom,sub-052; sub-057; sub-070
n_excluded_perfect_belowchance,7
excluded_perfect_belowchance,sub-015; sub-017; sub-019; sub-020; sub-033; sub-034; sub-054
n_excluded_low_placebo,0
excluded_low_placebo,
placebo_effect_mean_pct,11.49
placebo_effect_min_pct,-40.91
placebo_effect_max_pct,47.65
placebo_effect_sd_pct,17.74
anova_condition_F,30.68
anova_condition_p,8.832616032978183e-07
anova_condition_df1,1
anova_condition_df2,55
anova_condition_eta2,0.03
anova_block_F,2.27
anova_block_p,0.1372
anova_block_df1,1
anova_block_df2,55
anova_block_eta2,0.003
anova_interaction_F,0.0
anova_interaction_p,0.9826
anova_interaction_df1,1
anova_interaction_df2,55
anova_interaction_eta2,0.0
pain_ttest_t,-5.54
pain_ttest_p,8.832616032978091e-07
pain_ttest_df,55
pain_ttest_d,0.37
acc_overall_mean,78.29
acc_overall_min,53.12
acc_overall_max,96.88
acc_overall_sd,12.59
acc_overall_ci_lower,74.92
acc_overall_ci_upper,81.66
acc_active_mean,77.9
acc_active_min,37.5
acc_active_max,100.0
acc_active_sd,15.85
acc_active_ci_lower,73.66
acc_active_ci_upper,82.15
acc_inactive_mean,78.7
acc_inactive_min,50.0
acc_inactive_max,100.0
acc_inactive_sd,12.63
acc_inactive_ci_lower,75.32
acc_inactive_ci_upper,82.08
discrim_ttest_t,0.44
discrim_ttest_p,0.6645
discrim_ttest_df,55
discrim_ttest_dz,0.06
discrim_BF10,0.16
tost_mean_diff,0.008
tost_sd_diff,0.137
tost_bounds_cohen_d,0.45
tost_lower_t,3.8
tost_lower_p,0.0001799610169027279
tost_lower_df,55
tost_upper_t,-2.93
tost_upper_p,0.0025
tost_upper_df,55
tost_p,0.0024536963543966865
corr_placebo_acc_r,-0.03
corr_placebo_acc_p,0.8469
corr_placebo_acc_n,56
corr_placebo_acc_BF10,0.17
corr_staiy1_placebo_r,0.11
corr_staiy1_placebo_p,0.4215
corr_staiy1_acc_r,0.22
corr_staiy1_acc_p,0.1049
corr_staiy2_placebo_r,-0.04
corr_staiy2_placebo_p,0.7641
corr_staiy2_acc_r,0.13
corr_staiy2_acc_p,0.3502
corr_pcs_placebo_r,0.07
corr_pcs_placebo_p,0.5835
corr_pcs_acc_r,0.16
corr_pcs_acc_p,0.2334
temp_plateau_mean,45.84
temp_plateau_min,41.8
temp_plateau_max,49.4
temp_plateau_sd,1.62
temp_placebo_mean,44.11
temp_placebo_min,41.0
temp_placebo_max,48.2
temp_placebo_sd,1.88
temp_pic_mean,0.79
temp_pic_min,0.4
temp_pic_max,1.0
temp_pic_sd,0.16
