series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,compile_ramps.started,compile_ramps.stopped,deuxieme_start.started,deuxieme_start.stopped,press_when_ready2.started,text_9.started,press_when_ready2.stopped,wait_2.started,wait_2.stopped,therm_trig2.started,therm_trig2.stopped,rating_scale2.started,rating_scale2.stopped,keyResp_2.keys,therm_value,ratingScale_2.response,ratingScale_2.rt,thank_you_output_code.started,thank_you_output_code.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,249.03479549999975,,0.015795600000274135,225.98487720000048,225.9848869999987,243.45154700000057,243.4519610999996,249.01848320000136,249.0188124999986,249.03479549999975,267.4852237999985,41,2.0,267.4854129999985,269.4851329999983,269.48514200000136,281.48546799999895,281.48547490000055,295.2593385,22.00000000000003,22.00000000000003,13.751,295.2599184999999,295.2685792000011,295.2685792000011,305.16885550000006,y,9.884323599999334,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
0,0,0,0,1,0,1,0,,,,,305.18525339999906,,,,,,,,305.169168299999,305.18525339999906,306.71893529999943,42,2.4,306.7190558000002,309.11880179999935,309.11881020000146,321.1191875000004,321.1191948000014,325.14130300000033,40.0,40.0,4.004,325.1417294999992,325.1520894999994,325.1520894999994,329.4357415000013,y,4.276250399998389,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
0,0,0,0,2,0,2,0,,,,,329.45214430000124,,,,,,,,329.43594980000125,329.45214430000124,334.1191284000015,43,2.5,334.119267099999,336.6190487999993,336.6190573999993,348.6194138999999,348.61942089999866,356.0912293000001,65.99999999999997,65.99999999999997,7.453,356.0917112999996,356.10242319999816,356.10242319999816,362.3695579000014,y,6.2660160000014,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
0,0,0,0,3,0,3,0,,,,,362.38583890000154,,,,,,,,362.3698049000013,362.38583890000154,365.96946319999915,44,2.5,365.96958689999883,368.4693862999993,368.4693948999993,380.4694955999985,380.4695006000002,387.72386130000086,78.4999999999998,78.4999999999998,7.236,387.72429099999863,387.73610499999995,387.73610499999995,391.0198283999998,n,3.2806091000020388,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.01999760000035,395.01964529999896,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
1,0,1,0,0,0,0,0,,,,,407.1863072999986,,,,,,395.0197708000014,407.16989580000154,407.1702495999998,407.1863072999986,412.5699867000003,41,2.5,412.5701755000009,415.06993059999877,415.0699385000007,427.0702870999994,427.070294000001,431.7588582999997,33.0000000000001,33.0000000000001,4.669,431.75931280000077,431.7698918999995,431.7698918999995,437.37032389999877,y,5.586275200003001,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
1,0,1,0,1,0,1,0,,,,,437.38662850000037,,,,,,,,437.37063599999965,437.38662850000037,437.9536077999983,42,2.1,437.9537273999995,440.0534813999984,440.0534899999984,452.05386689999796,452.0538732999994,455.60921450000023,40.500000000000036,40.500000000000036,3.536,455.6097024999981,455.620292399999,455.620292399999,458.85390239999833,y,3.2237152000016067,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
1,0,1,0,2,0,2,0,,,,,458.8702876999996,,,,,,,,458.85413809999955,458.8702876999996,459.37059600000066,43,2.4,459.37071619999915,461.7704174999999,461.7704253999982,473.77078600000095,473.77079239999875,478.8085018999991,70.0,70.0,5.019,478.8089669000001,478.8204325000006,478.8204325000006,483.7374936999986,n,4.900544299998728,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.737683299998,487.7373418999996,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
2,0,2,0,0,0,0,0,,,,,492.77056359999915,,,,,,487.7374740999985,492.7541476000006,492.75447989999884,492.77056359999915,495.9209473999981,41,2.0,495.9211178000005,497.92077119999885,497.92077960000097,509.92117479999797,509.92118140000093,514.2751922999996,24.999999999999993,24.999999999999993,4.336,514.2759508999989,514.287527299999,514.287527299999,519.8878941000003,y,5.588450000002922,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
2,0,2,0,1,0,1,0,,,,,519.9042876999993,,,,,,,,519.8881856000007,519.9042876999993,523.3378546999993,42,2.0,523.3379745999991,525.3377259000008,525.3377390999995,537.3377603000008,537.3377656000011,542.7751849000015,17.000000000000078,17.000000000000078,5.419,542.7759598000011,542.7877851000012,542.7877851000012,546.3047587000001,y,3.504059099999722,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
2,0,2,0,2,0,2,0,,,,,546.3211668000004,,,,,,,,546.3049694000001,546.3211668000004,549.388156099998,43,2.4,549.3882779000014,551.7882266000015,551.788235,563.7884698999987,563.7884769999982,569.4094446999989,36.49999999999998,36.49999999999998,5.603,569.4098947999992,569.4215151999997,569.4215151999997,572.0550517999982,y,2.622521200002666,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
2,0,2,0,3,0,3,0,,,,,572.071444199999,,,,,,,,572.0552669999997,572.071444199999,575.1052310999985,44,2.0,575.105365899999,577.1049918999997,577.1049998999988,589.1053463999997,589.1053530999998,595.6605692000012,67.49999999999984,67.49999999999984,6.537,595.6610007999989,595.671748599998,595.671748599998,599.0886748000012,n,3.4004022999979497,None,,,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0888641999991,603.0886186999996,,,,,,,,,,,,,,,,,,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,0,0,0,0,616.5552241000005,,,,,,,,,,,,2.2,,,,,,,66.99999999999991,,,,,,,,,,,,603.0886438999987,608.105160799998,608.1051670000015,616.538825399999,616.5391775999997,616.5552241000005,619.7388600999984,619.7388695000009,621.9389183999992,621.9389282000011,633.9391351000013,633.9391447999988,637.610975399999,None,44.0,66.99999999999991,3.654,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,1,0,1,0,637.6221971000014,,,,,,,,,,,,2.3,,,,,,,26.50000000000012,,,,,,,,,,,,,,,,637.6121807999989,637.6221971000014,641.8058646999998,641.8058730000012,644.1056908999999,644.1056996000007,656.1060546000008,656.1060627000006,659.6433614999987,None,43.1,26.50000000000012,3.468,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,2,0,2,0,659.6557317000006,,,,,,,,,,,,2.2,,,,,,,24.00000000000002,,,,,,,,,,,,,,,,659.6439146000012,659.6557317000006,663.7560381000003,663.7560468000011,665.9559663,665.9559752999994,677.9560469999997,677.9560528000002,682.5269313999997,None,42.2,24.00000000000002,4.552,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,3,0,3,0,682.5393972999991,,,,,,,,,,,,2.3,,,,,,,61.00000000000007,,,,,,,,,,,,,,,,682.5278766999982,682.5393972999991,686.2563716000004,686.2563805999998,688.5563077000006,688.5563212000015,700.5565523000005,700.5565594,703.7285293999994,None,43.8,61.00000000000007,3.152,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,4,0,4,0,703.7395856000003,,,,,,,,,,,,2.0,,,,,,,58.499999999999936,,,,,,,,,,,,,,,,703.7294928999981,703.7395856000003,707.1899153000013,707.1899236999998,709.1898498999981,709.1898596999999,721.1902684000015,721.190275099998,726.2621962999983,None,42.8,58.499999999999936,5.054,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,5,0,5,0,726.2732294999987,,,,,,,,,,,,2.4,,,,,,,40.0,,,,,,,,,,,,,,,,726.2632038000011,726.2732294999987,729.8234577000003,729.8234659000009,732.2234495000012,732.2234585000006,744.2238570000009,744.2238641000004,747.3444830000008,None,43.3,40.0,3.103,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,6,0,6,0,747.3567680000015,,,,,,,,,,,,2.5,,,,,,,40.50000000000001,,,,,,,,,,,,,,,,747.3457092999997,747.3567680000015,751.2071055000015,751.2071152999997,753.7070099000011,753.7070189000005,765.7073820000005,765.7073885999998,770.2614518999981,None,42.6,40.50000000000001,4.536,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,7,0,7,0,770.273693799998,,,,,,,,,,,,2.5,,,,,,,39.00000000000007,,,,,,,,,,,,,,,,770.2624126999981,770.273693799998,774.9915255000014,774.9915344000001,777.4906626999982,777.4906721000007,789.4909802000002,789.4909875000012,792.6458399000003,None,41.2,39.00000000000007,3.137,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
,,,,,,,,8,0,8,0,792.6572536999993,,,,,,,,,,,,2.0,,,,,,,51.0000000000001,,,,,,,,,,,,,,,,792.6468400999984,792.6572536999993,796.4577012000009,796.4577104999989,798.4575196000005,798.4575296000003,810.4579639000003,810.4579712999985,813.8623891999996,None,42.4,51.0000000000001,3.386,,,sub-051,COM7,3,2025-03-05_14h11.47.331,2024_RDpaindiscrimination_calibration,2023.2.3,59.996532200661726,2025-03-05 14h12.00.333360 -0500,
