,times,neutral,z1,z2,z3,z4,z5
0,0.10565018653869629,37.8,37.6,37.6,37.6,37.6,37.6
1,0.21827363967895508,37.8,37.6,37.6,37.6,37.6,37.6
2,0.32989978790283203,37.8,37.6,37.6,37.6,37.7,37.7
3,0.4425232410430908,37.8,38.1,38.1,38.1,38.1,38.2
4,0.554149866104126,37.7,39.1,39.1,39.0,39.0,39.2
5,0.6667695045471191,37.7,40.1,40.0,40.0,40.0,40.2
6,0.7783997058868408,37.7,40.9,40.8,40.8,40.8,41.0
7,0.890026330947876,37.7,41.8,41.7,41.7,41.7,42.0
8,1.0026495456695557,37.6,42.7,42.6,42.6,42.6,42.9
9,1.1142761707305908,37.6,43.4,43.4,43.4,43.4,43.6
10,1.2268993854522705,37.6,43.7,43.7,43.6,43.6,43.8
11,1.338061809539795,37.5,43.6,43.6,43.6,43.6,43.7
12,1.450681447982788,37.5,43.6,43.6,43.5,43.6,43.7
13,1.5626380443572998,37.5,43.7,43.6,43.6,43.6,43.8
14,1.6742637157440186,37.5,43.7,43.6,43.6,43.6,43.8
15,1.7868871688842773,37.5,43.7,43.6,43.6,43.6,43.8
16,1.8985145092010498,37.5,43.7,43.6,43.6,43.7,43.8
17,2.0111372470855713,37.5,43.7,43.7,43.6,43.7,43.8
18,2.1227636337280273,37.6,43.7,43.7,43.6,43.7,43.8
19,2.235386848449707,37.6,43.7,43.7,43.7,43.7,43.8
20,2.347013473510742,37.6,43.7,43.7,43.7,43.7,43.8
21,2.459636688232422,37.6,43.7,43.7,43.7,43.7,43.8
22,2.571263074874878,37.6,43.7,43.7,43.7,43.7,43.8
23,2.6828861236572266,37.6,43.7,43.7,43.7,43.7,43.8
24,2.795513153076172,37.6,43.7,43.7,43.7,43.7,43.8
25,2.907139539718628,37.6,43.7,43.7,43.7,43.7,43.8
26,3.0197629928588867,37.6,43.7,43.7,43.7,43.7,43.8
27,3.131389617919922,37.6,43.7,43.7,43.7,43.7,43.8
28,3.2440125942230225,37.6,43.7,43.7,43.7,43.7,43.8
29,3.3556392192840576,37.6,43.7,43.7,43.7,43.7,43.8
30,3.4682626724243164,37.6,43.7,43.7,43.7,43.7,43.8
31,3.5794055461883545,37.6,43.7,43.7,43.7,43.7,43.8
32,3.6920289993286133,37.7,43.7,43.7,43.7,43.7,43.8
33,3.804651975631714,37.7,43.7,43.7,43.7,43.7,43.8
34,3.9162752628326416,37.7,43.7,43.7,43.7,43.7,43.8
35,4.027905225753784,37.7,43.7,43.7,43.7,43.7,43.8
36,4.140528440475464,37.7,43.7,43.7,43.7,43.7,43.8
37,4.252155303955078,37.7,43.7,43.7,43.7,43.7,43.8
38,4.364778518676758,37.7,43.7,43.7,43.7,43.7,43.8
39,4.476405143737793,37.7,43.7,43.7,43.7,43.7,43.8
40,4.5890281200408936,37.7,43.7,43.7,43.7,43.7,43.8
41,4.700651168823242,37.7,43.7,43.7,43.7,43.7,43.8
42,4.812281131744385,37.7,43.7,43.7,43.7,43.7,43.8
43,4.924900770187378,37.7,43.7,43.7,43.7,43.7,43.8
44,5.036531209945679,37.7,43.7,43.7,43.7,43.7,43.8
45,5.1491546630859375,37.7,43.7,43.7,43.7,43.7,43.8
46,5.2607808113098145,37.7,43.7,43.7,43.7,43.7,43.8
47,5.373404264450073,37.7,43.7,43.8,43.7,43.7,43.8
48,5.485030889511108,37.7,43.7,43.8,43.7,43.7,43.8
49,5.597654104232788,37.7,43.7,43.8,43.7,43.8,43.8
50,5.709280490875244,37.7,43.7,43.8,43.7,43.8,43.8
51,5.8204429149627686,37.7,43.7,43.8,43.7,43.8,43.8
