,series,trial,intensity,rating,fired
0,0,0,41,0.0,1
1,0,1,42,0.0,1
2,0,2,43,1.5000000000000002,1
3,0,3,44,1.499999999999997,1
4,0,4,45,4.500000000000164,1
5,0,5,46,11.00000000000017,1
6,0,6,47,15.000000000000004,1
7,0,7,48,23.5000000000002,1
8,1,0,41,0.0,1
9,1,1,42,0.0,1
10,1,2,43,0.0,1
11,1,3,44,1.999999999999997,1
12,1,4,45,11.999999999999993,1
13,1,5,46,15.500000000000139,1
14,1,6,47,35.99999999999995,1
15,1,7,48,48.99999999999993,1
16,2,0,41,0.0,1
17,2,1,42,0.0,1
18,2,2,43,0.0,1
19,2,3,44,3.5000000000001292,1
20,2,4,45,10.499999999999991,1
21,2,5,46,12.5000000000001,1
22,2,6,47,29.00000000000018,1
23,2,7,48,50.49999999999993,1
