,times,neutral,z1,z2,z3,z4,z5
0,0.12259340286254883,37.7,37.7,37.6,37.6,37.6,37.6
1,0.23422002792358398,37.7,37.8,37.6,37.6,37.6,37.6
2,0.34684324264526367,37.7,37.8,37.6,37.6,37.6,37.7
3,0.4578988552093506,37.7,38.4,38.0,38.1,38.1,38.2
4,0.5707647800445557,37.7,39.3,38.9,38.9,39.0,39.2
5,0.682748556137085,37.7,40.1,39.8,39.8,39.9,40.1
6,0.794567346572876,37.7,40.7,40.5,40.5,40.6,40.8
7,0.9074282646179199,37.6,41.5,41.3,41.3,41.4,41.7
8,1.0186402797698975,37.6,42.3,42.1,42.1,42.2,42.5
9,1.131577491760254,37.6,42.8,42.6,42.6,42.6,42.9
10,1.2432045936584473,37.6,42.8,42.6,42.6,42.6,42.8
11,1.3548307418823242,37.6,42.7,42.5,42.5,42.6,42.8
12,1.4674537181854248,37.6,42.7,42.6,42.6,42.6,42.9
13,1.57908034324646,37.6,42.7,42.6,42.6,42.6,42.9
14,1.6917035579681396,37.6,42.7,42.6,42.6,42.6,42.8
15,1.8033263683319092,37.6,42.8,42.6,42.6,42.6,42.9
16,1.9149529933929443,37.6,42.8,42.6,42.6,42.7,42.9
17,2.0275800228118896,37.6,42.7,42.6,42.6,42.7,42.8
18,2.139206647872925,37.6,42.7,42.6,42.6,42.7,42.9
19,2.2518298625946045,37.6,42.8,42.6,42.6,42.7,42.8
20,2.363452434539795,37.6,42.8,42.6,42.7,42.7,42.8
21,2.4760799407958984,37.6,42.8,42.6,42.7,42.7,42.9
22,2.587507486343384,37.6,42.7,42.6,42.7,42.7,42.9
23,2.7001304626464844,37.6,42.7,42.6,42.7,42.7,42.9
24,2.8117573261260986,37.6,42.7,42.6,42.7,42.7,42.9
25,2.924380302429199,37.6,42.7,42.6,42.7,42.7,42.9
26,3.0360069274902344,37.6,42.7,42.6,42.7,42.7,42.9
27,3.1471469402313232,37.6,42.7,42.6,42.7,42.7,42.9
28,3.259770154953003,37.6,42.7,42.6,42.7,42.7,42.9
29,3.3723936080932617,37.6,42.7,42.6,42.7,42.7,42.9
30,3.4840199947357178,37.6,42.7,42.6,42.7,42.7,42.9
31,3.5966432094573975,37.7,42.7,42.6,42.7,42.7,42.9
32,3.7082698345184326,37.7,42.7,42.6,42.7,42.7,42.9
33,3.8208930492401123,37.7,42.7,42.6,42.7,42.7,42.9
34,3.933516263961792,37.7,42.7,42.7,42.7,42.7,42.9
35,4.045142650604248,37.7,42.7,42.7,42.7,42.7,42.9
36,4.156301021575928,37.7,42.7,42.7,42.7,42.7,42.9
37,4.268927812576294,37.7,42.7,42.7,42.7,42.7,42.9
38,4.380885124206543,37.7,42.7,42.7,42.7,42.7,42.9
39,4.492511749267578,37.7,42.8,42.7,42.7,42.7,42.9
40,4.605134725570679,37.7,42.7,42.7,42.7,42.7,42.9
41,4.716761350631714,37.7,42.7,42.7,42.7,42.7,42.9
42,4.8293845653533936,37.7,42.7,42.7,42.7,42.7,42.9
43,4.941011190414429,37.7,42.7,42.7,42.7,42.8,42.9
44,5.053634405136108,37.7,43.1,43.1,43.1,43.2,43.4
45,5.1652610301971436,37.7,43.8,43.7,43.7,43.8,44.0
46,5.2768874168396,37.7,43.8,43.8,43.8,43.8,44.0
47,5.389024019241333,37.7,43.7,43.6,43.7,43.7,43.8
48,5.5013511180877686,37.7,43.8,43.7,43.7,43.7,43.9
49,5.613326072692871,37.7,43.8,43.7,43.7,43.8,44.0
50,5.725949048995972,37.7,43.7,43.7,43.7,43.7,43.8
51,5.837575674057007,37.7,43.7,43.7,43.7,43.7,43.9
52,5.950194835662842,37.7,43.8,43.7,43.7,43.8,43.9
53,6.061825513839722,37.7,43.7,43.7,43.7,43.7,43.8
54,6.173452138900757,37.7,43.2,43.2,43.2,43.2,43.3
55,6.2860753536224365,37.7,42.7,42.7,42.7,42.7,42.8
56,6.397701978683472,37.7,42.7,42.6,42.7,42.7,42.8
57,6.510325193405151,37.7,42.8,42.8,42.8,42.8,43.0
58,6.621951580047607,37.7,42.8,42.7,42.8,42.8,42.9
59,6.734575033187866,37.7,42.7,42.7,42.7,42.7,42.8
60,6.846201181411743,37.7,42.8,42.7,42.8,42.8,42.9
61,6.957828044891357,37.7,42.8,42.7,42.8,42.8,42.9
62,7.070451498031616,37.7,42.7,42.7,42.7,42.7,42.8
63,7.183070421218872,37.7,42.8,42.7,42.7,42.8,42.9
64,7.294701099395752,37.7,42.8,42.7,42.8,42.8,42.9
65,7.406327486038208,37.7,42.8,42.7,42.8,42.7,42.9
66,7.518950700759888,37.7,42.8,42.7,42.8,42.7,42.9
67,7.630093574523926,37.7,42.8,42.7,42.8,42.7,42.9
68,7.742716312408447,37.7,42.8,42.7,42.8,42.7,42.9
69,7.854343414306641,37.7,42.8,42.7,42.8,42.7,42.9
70,7.9669623374938965,37.7,42.8,42.7,42.8,42.7,42.9
71,8.078593254089355,37.7,42.8,42.7,42.8,42.7,42.9
72,8.191216230392456,37.7,42.8,42.7,42.8,42.7,42.9
73,8.302842855453491,37.7,42.8,42.7,42.8,42.7,42.9
74,8.415461778640747,37.7,42.8,42.7,42.8,42.7,42.9
