,times,neutral,z1,z2,z3,z4,z5
0,0.11162662506103516,37.8,37.7,37.6,37.6,37.6,37.6
1,0.22325348854064941,37.8,37.6,37.6,37.6,37.6,37.6
2,0.33587646484375,37.8,37.8,37.8,37.7,37.7,37.7
3,0.44750308990478516,37.8,38.6,38.4,38.4,38.4,38.5
4,0.5596423149108887,37.8,39.9,39.7,39.6,39.7,39.8
5,0.6712696552276611,37.8,41.1,40.8,40.8,40.8,41.0
6,0.7842190265655518,37.7,42.1,41.9,41.8,41.9,42.1
7,0.8958489894866943,37.7,43.3,43.0,42.9,43.0,43.3
8,1.0074756145477295,37.6,44.5,44.1,44.1,44.1,44.4
9,1.1200988292694092,37.6,45.4,45.1,45.0,45.1,45.4
10,1.2317252159118652,37.6,45.8,45.5,45.5,45.5,45.8
11,1.344348669052124,37.6,45.7,45.4,45.4,45.5,45.7
12,1.4559752941131592,37.6,45.6,45.4,45.4,45.4,45.6
13,1.5685982704162598,37.5,45.7,45.5,45.4,45.5,45.7
14,1.680224895477295,37.6,45.7,45.5,45.5,45.5,45.7
15,1.7923648357391357,37.6,45.7,45.5,45.5,45.5,45.6
16,1.9039912223815918,37.6,45.7,45.5,45.5,45.5,45.7
17,2.0159811973571777,37.6,45.7,45.5,45.5,45.5,45.7
18,2.128239154815674,37.6,45.7,45.5,45.5,45.5,45.7
19,2.2408618927001953,37.6,45.7,45.5,45.5,45.5,45.7
20,2.3524887561798096,37.6,45.7,45.5,45.5,45.6,45.7
21,2.4651119709014893,37.6,45.7,45.5,45.5,45.6,45.7
22,2.5767383575439453,37.6,45.7,45.6,45.5,45.6,45.7
23,2.689361333847046,37.6,45.7,45.6,45.5,45.6,45.7
24,2.8013110160827637,37.6,45.7,45.6,45.5,45.6,45.7
25,2.912937641143799,37.7,45.7,45.6,45.5,45.6,45.7
26,3.0255608558654785,37.7,45.7,45.6,45.5,45.6,45.7
27,3.1371874809265137,37.7,45.7,45.6,45.5,45.6,45.7
28,3.248814105987549,37.7,45.7,45.6,45.6,45.6,45.7
29,3.3614373207092285,37.7,45.7,45.6,45.6,45.6,45.7
30,3.4730641841888428,37.7,45.7,45.6,45.6,45.6,45.7
31,3.5856869220733643,37.7,45.7,45.6,45.6,45.6,45.7
32,3.6973135471343994,37.7,45.7,45.6,45.6,45.6,45.7
33,3.809936761856079,37.7,45.7,45.6,45.6,45.6,45.7
34,3.9215633869171143,37.7,45.7,45.6,45.6,45.6,45.7
35,4.033699035644531,37.7,45.7,45.6,45.6,45.6,45.7
36,4.145081996917725,37.7,45.7,45.6,45.6,45.6,45.7
37,4.257704973220825,37.7,45.7,45.6,45.6,45.6,45.7
38,4.370328187942505,37.7,45.7,45.6,45.6,45.6,45.7
39,4.481955051422119,37.7,45.7,45.6,45.6,45.6,45.7
40,4.593581438064575,37.7,45.7,45.6,45.6,45.6,45.7
41,4.706204652786255,37.7,45.7,45.6,45.6,45.6,45.7
42,4.817831039428711,37.7,45.7,45.6,45.6,45.6,45.7
43,4.930454254150391,37.7,45.7,45.6,45.6,45.6,45.7
44,5.041615724563599,37.8,45.7,45.6,45.6,45.6,45.7
45,5.154238939285278,37.8,45.7,45.6,45.6,45.6,45.7
46,5.2662458419799805,37.8,45.7,45.6,45.6,45.6,45.7
47,5.378868579864502,37.8,45.7,45.6,45.6,45.6,45.7
48,5.490495443344116,37.8,45.7,45.6,45.6,45.6,45.7
49,5.601600170135498,37.8,45.7,45.6,45.6,45.6,45.7
50,5.714227199554443,37.8,45.7,45.6,45.6,45.6,45.7
51,5.826850414276123,37.8,45.7,45.6,45.6,45.6,45.7
52,5.938477039337158,37.8,45.7,45.6,45.6,45.6,45.7
53,6.051096439361572,37.8,45.7,45.6,45.6,45.6,45.7
54,6.162726879119873,37.8,45.7,45.6,45.6,45.6,45.7
55,6.27535080909729,37.8,45.7,45.6,45.6,45.6,45.7
56,6.386976480484009,37.8,45.7,45.6,45.6,45.7,45.7
57,6.498602867126465,37.8,45.7,45.6,45.6,45.7,45.7
58,6.611226320266724,37.8,45.7,45.6,45.6,45.7,45.7
59,6.72285270690918,37.8,45.7,45.6,45.6,45.7,45.8
60,6.835472345352173,37.8,45.7,45.6,45.6,45.7,45.8
61,6.947102308273315,37.8,45.7,45.7,45.6,45.7,45.8
62,7.060128927230835,37.8,45.7,45.7,45.6,45.7,45.8
63,7.17175555229187,37.8,45.7,45.7,45.6,45.7,45.8
64,7.28337836265564,37.8,45.7,45.7,45.6,45.7,45.8
65,7.396119594573975,37.8,45.7,45.7,45.6,45.7,45.8
66,7.507745742797852,37.8,45.7,45.7,45.6,45.7,45.8
67,7.619372129440308,37.8,45.7,45.7,45.6,45.7,45.8
68,7.7319958209991455,37.8,45.7,45.7,45.6,45.7,45.8
69,7.8436219692230225,37.8,45.7,45.7,45.6,45.7,45.8
70,7.956245183944702,37.8,45.7,45.7,45.6,45.7,45.8
71,8.067867755889893,37.8,45.7,45.7,45.6,45.7,45.8
72,8.179498434066772,37.8,45.7,45.7,45.6,45.7,45.8
73,8.292117595672607,37.8,45.7,45.7,45.6,45.7,45.8
74,8.403748273849487,37.8,45.7,45.7,45.6,45.7,45.8
75,8.516371488571167,37.8,45.7,45.7,45.6,45.7,45.8
76,8.627997875213623,37.8,45.7,45.7,45.6,45.7,45.8
77,8.740621328353882,37.8,45.7,45.7,45.7,45.7,45.8
78,8.852247714996338,37.8,45.7,45.7,45.7,45.7,45.8
79,8.964870929718018,37.8,45.7,45.7,45.7,45.7,45.8
80,9.076014280319214,37.8,45.7,45.7,45.7,45.7,45.8
81,9.188135623931885,37.8,45.7,45.7,45.7,45.7,45.8
82,9.300755500793457,37.8,45.7,45.7,45.7,45.7,45.8
83,9.412385702133179,37.8,45.7,45.7,45.7,45.7,45.8
84,9.525009155273438,37.8,45.7,45.7,45.7,45.7,45.8
85,9.636178255081177,37.8,45.7,45.7,45.7,45.7,45.8
86,9.748801469802856,37.8,45.7,45.7,45.7,45.7,45.8
87,9.860758543014526,37.8,45.7,45.7,45.7,45.7,45.8
88,9.973381757736206,37.8,45.7,45.7,45.7,45.7,45.8
89,10.085008382797241,37.8,45.7,45.7,45.7,45.7,45.8
90,10.196634769439697,37.8,45.7,45.7,45.7,45.7,45.8
91,10.309257984161377,37.8,45.7,45.7,45.7,45.7,45.8
92,10.420884609222412,37.8,45.7,45.7,45.7,45.7,45.8
93,10.533504247665405,37.8,45.7,45.7,45.7,45.7,45.8
94,10.645134449005127,37.8,45.7,45.7,45.7,45.7,45.8
95,10.757757663726807,37.8,45.7,45.7,45.7,45.7,45.8
96,10.869384288787842,37.8,45.7,45.7,45.7,45.7,45.8
