,times,neutral,z1,z2,z3,z4,z5
0,0.12059903144836426,37.8,37.6,37.6,37.6,37.6,37.7
1,0.23321819305419922,37.8,37.6,37.6,37.6,37.6,37.7
2,0.34435462951660156,37.8,37.8,37.8,37.8,37.8,37.9
3,0.45692873001098633,37.8,38.6,38.5,38.6,38.6,38.9
4,0.5695524215698242,37.8,40.0,39.9,39.9,40.0,40.3
5,0.6811788082122803,37.8,41.2,41.1,41.1,41.2,41.6
6,0.79380202293396,37.7,42.3,42.2,42.3,42.3,42.7
7,0.9054007530212402,37.7,43.6,43.5,43.5,43.6,44.0
8,1.017024040222168,37.6,44.8,44.7,44.7,44.8,45.2
9,1.129004716873169,37.6,45.5,45.4,45.4,45.5,45.9
10,1.2411017417907715,37.6,45.5,45.4,45.5,45.5,45.8
11,1.3537251949310303,37.6,45.4,45.3,45.4,45.4,45.7
12,1.4653565883636475,37.6,45.5,45.4,45.4,45.5,45.8
13,1.5781848430633545,37.6,45.5,45.5,45.5,45.5,45.8
14,1.6898157596588135,37.5,45.5,45.4,45.4,45.5,45.7
15,1.8018159866333008,37.5,45.5,45.4,45.5,45.5,45.8
16,1.9144389629364014,37.6,45.5,45.5,45.5,45.5,45.8
17,2.0260655879974365,37.6,45.5,45.5,45.5,45.5,45.7
18,2.138688802719116,37.6,45.5,45.5,45.5,45.5,45.8
19,2.250678062438965,37.6,45.5,45.5,45.5,45.6,45.8
20,2.3623080253601074,37.6,45.5,45.5,45.5,45.6,45.8
21,2.4739346504211426,37.6,45.5,45.5,45.5,45.6,45.7
22,2.5865578651428223,37.6,45.5,45.5,45.5,45.6,45.8
23,2.6977005004882812,37.6,45.5,45.5,45.6,45.6,45.8
24,2.810323715209961,37.6,45.5,45.5,45.6,45.6,45.8
25,2.922283887863159,37.6,45.6,45.5,45.6,45.6,45.8
26,3.0349032878875732,37.6,45.6,45.6,45.6,45.6,45.8
27,3.146533489227295,37.7,45.6,45.6,45.6,45.6,45.8
28,3.258793354034424,37.7,45.6,45.6,45.6,45.6,45.8
29,3.3714168071746826,37.7,45.6,45.6,45.6,45.6,45.7
30,3.4830429553985596,37.7,45.6,45.6,45.6,45.6,45.7
31,3.594670057296753,37.7,45.6,45.6,45.6,45.6,45.7
32,3.7072930335998535,37.7,45.6,45.6,45.6,45.6,45.7
33,3.8184359073638916,37.7,45.6,45.6,45.6,45.6,45.7
34,3.9310591220855713,37.7,45.6,45.6,45.6,45.6,45.7
35,4.043519735336304,37.7,45.6,45.6,45.6,45.6,45.7
36,4.1558310985565186,37.7,45.6,45.6,45.6,45.6,45.7
