series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,compile_ramps.started,compile_ramps.stopped,deuxieme_start.started,deuxieme_start.stopped,press_when_ready2.started,text_9.started,press_when_ready2.stopped,wait_2.started,wait_2.stopped,therm_trig2.started,therm_trig2.stopped,rating_scale2.started,rating_scale2.stopped,keyResp_2.keys,therm_value,ratingScale_2.response,ratingScale_2.rt,thank_you_output_code.started,thank_you_output_code.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,16.068709099999978,,0.001829599999837228,1.4687803000001622,1.4687874999999622,15.318981400000212,15.333208500000183,16.035599700000148,16.035891800000172,16.068709099999978,17.635652500000106,41,2.2,17.646738200000073,19.835540200000196,19.835547300000144,31.83558290000019,31.835588500000085,37.59203250000019,1.3877787807814457e-16,1.3877787807814457e-16,5.732,37.59264979999989,37.60229190000018,37.60229190000018,40.86928230000012,y,3.2666298000003735,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,1,0,1,0,,,,,40.88560180000013,,,,,,,,40.86957489999986,40.88560180000013,41.235841100000016,42,2.3,41.23596069999985,43.5357583,43.535765399999946,55.53612329999987,55.53613050000013,59.09022760000016,0.0,0.0,3.533,59.09072520000018,59.1024467000002,59.1024467000002,60.70276240000021,y,1.5905189000000064,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,2,0,2,0,,,,,60.71903320000001,,,,,,,,60.703004299999975,60.71903320000001,60.90269219999982,43,2.4,60.9027973000002,63.30264450000004,63.30265139999983,75.30299950000017,75.3030063000001,83.92365840000002,5.000000000000067,5.000000000000067,8.6,83.92409439999983,83.93593240000018,83.93593240000018,85.73615840000002,y,1.7848947000002227,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,3,0,3,0,,,,,85.75263820000009,,,,,,,,85.73636050000005,85.75263820000009,86.0029328999999,44,2.3,86.00305160000016,88.30275340000026,88.30276069999991,100.30281569999988,100.30282119999993,106.30770769999981,13.0000000000001,13.0000000000001,5.985,106.30812280000009,106.31965910000008,106.31965910000008,107.88636429999997,y,1.5530115000001388,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,4,0,4,0,,,,,107.90280570000004,,,,,,,,107.88657419999981,107.90280570000004,108.11969349999981,45,2.4,108.11980480000011,110.51966799999991,110.519675,122.52003120000018,122.52003800000011,127.2419190999999,43.00000000000013,43.00000000000013,4.702,127.24235929999986,127.2529585000002,127.2529585000002,129.18660320000026,y,1.9317214000002423,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,5,0,5,0,,,,,129.20302489999995,,,,,,,,129.18683340000007,129.20302489999995,129.48657150000008,46,2.5,129.48667840000007,131.9865205000001,131.98652850000008,143.98687740000014,143.98688330000004,147.74124119999988,44.50000000000002,44.50000000000002,3.734,147.74168670000017,147.7531939999999,147.7531939999999,150.22022860000015,y,2.4516810999998597,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,6,0,6,0,,,,,150.23656200000005,,,,,,,,150.22044180000012,150.23656200000005,150.47011729999986,47,2.3,150.47022659999993,152.77005259999987,152.77005969999982,164.77008860000024,164.7700937999998,169.42394280000008,57.99999999999987,57.99999999999987,4.632,169.4243738,169.4367725000002,169.4367725000002,171.62021349999986,y,2.172682299999906,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,7,0,7,0,,,,,171.63664800000015,,,,,,,,171.62042780000002,171.63664800000015,171.92032150000023,48,2.2,171.9204365999999,174.12024120000024,174.12024800000017,186.12027119999993,186.120277,198.70944229999986,97.99999999999997,97.99999999999997,12.569,198.71022420000008,198.72046929999988,198.72046929999988,199.9373086999999,n,1.2007574999997814,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.93746599999986,203.9372659999999,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
1,0,1,0,0,0,0,0,,,,,229.10394850000012,,,,,,203.93738200000007,229.08756170000015,229.08787329999996,229.10394850000012,229.5209018999999,41,2.2,229.5210492000001,231.7207767,231.72078360000023,243.72123509999983,243.72124200000007,248.6084052000001,3.0000000000001292,3.0000000000001292,4.867,248.60896779999985,248.62092200000006,248.62092200000006,251.00442740000017,y,2.3677919000001566,None,,,,,,,,,,,,,,,,,,,,,,sub-072,COM3,3,2026-02-05_14h31.07.099,2024_RDpaindiscrimination_calibration,2023.2.3,60.014247382359464,2026-02-05 15h11.34.115064 -0500,
