,times,neutral,z1,z2,z3,z4,z5
0,0.10700368881225586,37.9,37.9,38.0,38.0,37.9,37.6
1,0.21903753280639648,37.9,37.9,38.0,38.0,37.9,37.6
2,0.33303308486938477,37.9,38.0,38.0,38.1,38.0,37.8
3,0.4450371265411377,37.9,38.9,38.6,38.7,38.7,38.7
4,0.5570371150970459,37.8,40.4,40.0,40.0,40.0,40.2
5,0.6681580543518066,37.8,41.8,41.4,41.4,41.4,41.5
6,0.7801580429077148,37.7,42.9,42.6,42.6,42.6,42.7
7,0.892158031463623,37.7,44.3,43.8,43.8,43.9,44.1
8,1.0041577816009521,37.7,45.6,45.1,45.1,45.2,45.4
9,1.1171538829803467,37.6,46.3,46.0,46.0,46.1,46.3
10,1.2281577587127686,37.6,46.4,46.1,46.1,46.2,46.3
11,1.3401575088500977,37.6,46.2,46.0,46.0,46.1,46.2
12,1.4521574974060059,37.6,46.3,46.1,46.1,46.1,46.3
13,1.5641582012176514,37.6,46.4,46.1,46.1,46.2,46.3
14,1.6771574020385742,37.6,46.3,46.1,46.1,46.1,46.3
15,1.7881572246551514,37.6,46.3,46.1,46.1,46.2,46.3
16,1.9006671905517578,37.6,46.4,46.1,46.2,46.2,46.3
17,2.0126707553863525,37.6,46.4,46.2,46.2,46.2,46.3
18,2.1246707439422607,37.6,46.3,46.2,46.2,46.2,46.3
19,2.23667049407959,37.6,46.4,46.2,46.2,46.2,46.3
20,2.348670482635498,37.6,46.4,46.2,46.2,46.2,46.3
21,2.4606704711914062,37.6,46.4,46.2,46.2,46.2,46.3
22,2.5736703872680664,37.7,46.4,46.2,46.2,46.2,46.3
23,2.6856701374053955,37.7,46.4,46.2,46.2,46.2,46.3
24,2.7966701984405518,37.7,46.4,46.2,46.2,46.2,46.3
25,2.909670114517212,37.7,46.4,46.2,46.2,46.2,46.3
26,3.021670341491699,37.7,46.4,46.2,46.2,46.2,46.3
27,3.1332032680511475,37.7,46.4,46.2,46.2,46.2,46.3
28,3.245284080505371,37.7,46.4,46.2,46.2,46.2,46.3
29,3.357630729675293,37.7,46.4,46.2,46.2,46.2,46.3
30,3.4696269035339355,37.7,46.4,46.2,46.2,46.2,46.3
31,3.5816304683685303,37.7,46.4,46.2,46.2,46.2,46.3
32,3.6946301460266113,37.7,46.4,46.2,46.2,46.2,46.3
33,3.8066301345825195,37.7,46.4,46.2,46.2,46.2,46.3
34,3.9186301231384277,37.7,46.4,46.2,46.2,46.2,46.3
35,4.029629945755005,37.8,46.4,46.2,46.2,46.2,46.3
36,4.14163064956665,37.8,46.4,46.2,46.2,46.2,46.3
37,4.253629684448242,37.8,46.4,46.2,46.2,46.2,46.3
38,4.366626262664795,37.8,46.4,46.2,46.2,46.2,46.3
39,4.477629661560059,37.8,46.4,46.2,46.2,46.2,46.3
40,4.590629577636719,37.8,46.4,46.2,46.2,46.2,46.3
41,4.702141523361206,37.8,46.4,46.2,46.2,46.2,46.3
42,4.814903497695923,37.8,46.4,46.2,46.2,46.2,46.3
43,4.926250696182251,37.8,46.4,46.2,46.3,46.2,46.3
44,5.039250612258911,37.8,46.4,46.2,46.3,46.2,46.3
45,5.1503050327301025,37.8,46.4,46.2,46.3,46.3,46.3
46,5.263308525085449,37.8,46.4,46.2,46.3,46.3,46.3
