,neutral,z1,z2,z3,z4,z5
0,37.9,37.7,38.0,37.9,37.9,37.7
1,37.9,37.7,38.0,37.9,37.9,37.7
2,37.9,37.9,38.0,38.0,38.0,37.9
3,37.9,38.8,38.7,38.7,38.7,38.9
4,37.8,40.4,40.1,40.1,40.2,40.5
5,37.8,41.8,41.6,41.6,41.6,41.9
6,37.8,43.0,42.8,42.9,42.9,43.1
7,37.7,44.4,44.2,44.2,44.2,44.5
8,37.7,45.8,45.5,45.6,45.6,45.9
9,37.6,46.6,46.4,46.4,46.5,46.7
10,37.6,46.7,46.5,46.5,46.6,46.8
11,37.6,46.5,46.4,46.4,46.4,46.6
12,37.6,46.6,46.5,46.5,46.5,46.7
13,37.6,46.6,46.5,46.5,46.5,46.7
14,37.6,46.6,46.5,46.5,46.5,46.7
15,37.6,46.6,46.5,46.5,46.5,46.7
16,37.6,46.7,46.5,46.6,46.6,46.7
17,37.6,46.6,46.6,46.6,46.6,46.7
18,37.6,46.6,46.5,46.6,46.6,46.7
19,37.6,46.7,46.5,46.6,46.6,46.7
20,37.6,46.7,46.5,46.6,46.6,46.7
21,37.6,46.7,46.6,46.6,46.6,46.7
22,37.6,46.7,46.6,46.6,46.6,46.8
23,37.7,46.7,46.6,46.6,46.6,46.8
24,37.7,46.7,46.6,46.6,46.6,46.8
25,37.7,46.7,46.6,46.6,46.6,46.8
26,37.7,46.7,46.6,46.6,46.6,46.8
27,37.7,46.7,46.6,46.6,46.6,46.8
28,37.7,46.7,46.6,46.6,46.6,46.8
29,37.7,46.7,46.6,46.6,46.6,46.8
30,37.7,46.7,46.6,46.6,46.7,46.8
31,37.7,46.7,46.6,46.6,46.7,46.8
32,37.7,46.7,46.6,46.6,46.7,46.8
33,37.7,46.7,46.6,46.6,46.7,46.8
34,37.7,46.7,46.6,46.6,46.7,46.8
35,37.7,46.7,46.6,46.6,46.7,46.8
36,37.8,46.7,46.6,46.6,46.7,46.8
37,37.8,46.7,46.6,46.6,46.7,46.8
38,37.8,46.7,46.6,46.7,46.7,46.8
39,37.8,46.7,46.6,46.7,46.7,46.8
40,37.8,46.7,46.6,46.7,46.7,46.8
41,37.8,46.7,46.6,46.7,46.7,46.8
42,37.8,47.0,46.9,46.9,47.0,47.0
43,37.8,47.6,47.5,47.5,47.6,47.7
44,37.7,47.9,47.8,47.8,47.8,47.9
45,37.7,47.7,47.6,47.6,47.6,47.7
46,37.7,47.7,47.6,47.6,47.6,47.7
47,37.7,47.8,47.7,47.7,47.7,47.8
48,37.7,47.7,47.7,47.7,47.7,47.8
49,37.7,47.7,47.7,47.7,47.7,47.7
50,37.7,47.7,47.7,47.7,47.7,47.8
51,37.7,47.7,47.7,47.7,47.7,47.8
52,37.8,47.4,47.4,47.4,47.4,47.4
53,37.8,46.7,46.8,46.8,46.8,46.8
54,37.8,46.6,46.5,46.6,46.6,46.6
55,37.8,46.8,46.7,46.7,46.7,46.8
56,37.8,46.8,46.7,46.7,46.7,46.8
57,37.8,46.7,46.7,46.7,46.7,46.7
58,37.8,46.7,46.7,46.7,46.7,46.8
59,37.8,46.8,46.7,46.7,46.7,46.8
60,37.8,46.7,46.7,46.7,46.7,46.7
61,37.8,46.7,46.7,46.7,46.7,46.8
62,37.8,46.8,46.7,46.7,46.7,46.8
63,37.8,46.7,46.7,46.7,46.7,46.7
64,37.8,46.7,46.7,46.7,46.7,46.7
65,37.8,46.7,46.7,46.7,46.7,46.8
66,37.8,46.7,46.7,46.7,46.7,46.8
67,37.8,46.7,46.7,46.7,46.7,46.7
68,37.8,46.7,46.7,46.7,46.7,46.7
69,37.8,46.7,46.7,46.7,46.7,46.7
70,37.8,46.7,46.7,46.7,46.7,46.7
71,37.8,46.7,46.7,46.7,46.7,46.7
72,37.8,46.7,46.7,46.7,46.7,46.7
73,37.8,46.7,46.7,46.7,46.7,46.7
74,37.8,46.7,46.7,46.7,46.7,46.7
75,37.8,46.7,46.7,46.7,46.7,46.7
76,37.8,46.7,46.7,46.7,46.7,46.7
77,37.8,46.7,46.7,46.7,46.7,46.7
78,37.8,46.7,46.7,46.7,46.7,46.7
79,37.8,46.7,46.7,46.7,46.7,46.7
80,37.8,46.7,46.7,46.7,46.7,46.7
81,37.8,46.7,46.7,46.7,46.7,46.7
82,37.8,46.7,46.7,46.7,46.7,46.7
83,37.8,46.7,46.7,46.7,46.7,46.7
84,37.8,46.7,46.7,46.7,46.7,46.7
85,37.8,46.8,46.7,46.7,46.7,46.7
86,37.8,46.8,46.7,46.8,46.8,46.8
87,37.8,46.9,46.8,46.8,46.8,46.8
88,37.8,46.8,46.9,46.9,46.9,46.8
89,37.8,46.8,46.8,46.8,46.8,46.8
90,37.8,46.8,46.8,46.8,46.8,46.8
91,37.8,46.8,46.8,46.8,46.8,46.8
92,37.9,46.8,46.8,46.8,46.8,46.8
93,37.9,46.8,46.8,46.8,46.8,46.8
94,37.9,46.8,46.8,46.8,46.8,46.8
95,37.9,46.8,46.8,46.8,46.8,46.8
96,37.9,46.8,46.8,46.8,46.8,46.8
97,37.9,46.8,46.8,46.8,46.8,46.8
98,37.9,46.5,46.5,46.5,46.5,46.5
99,37.9,43.3,43.5,43.3,43.3,43.2
100,38.1,37.7,37.9,37.7,37.7,37.6
101,38.2,36.6,36.5,36.6,36.7,36.7
102,38.2,38.6,38.5,38.6,38.6,38.6
103,38.3,38.0,38.1,38.0,37.9,37.9
104,38.3,37.1,37.1,37.1,37.1,37.1
105,38.3,38.0,37.9,38.0,38.1,38.1
106,38.3,38.3,38.4,38.4,38.3,38.3
107,38.3,37.6,37.8,37.6,37.6,37.6
108,38.3,37.6,37.5,37.6,37.6,37.6
109,38.2,38.1,37.9,38.1,38.1,38.1
110,38.2,38.3,38.2,38.3,38.3,38.3
111,38.2,38.1,38.2,38.1,38.1,38.1
