,neutral,z1,z2,z3,z4,z5
0,37.8,37.6,37.7,37.6,37.6,37.6
1,37.8,37.6,37.6,37.6,37.6,37.6
2,37.8,37.8,37.8,37.8,37.8,37.8
3,37.8,38.6,38.5,38.5,38.6,38.6
4,37.8,40.0,39.8,39.8,39.9,40.0
5,37.7,41.2,41.1,41.0,41.1,41.2
6,37.7,42.3,42.1,42.1,42.2,42.3
7,37.6,43.5,43.3,43.3,43.4,43.6
8,37.6,44.7,44.5,44.5,44.5,44.8
9,37.6,45.4,45.2,45.2,45.3,45.4
10,37.5,45.4,45.3,45.3,45.3,45.4
11,37.5,45.3,45.2,45.2,45.2,45.3
12,37.5,45.4,45.2,45.2,45.3,45.4
13,37.5,45.4,45.3,45.3,45.3,45.4
14,37.5,45.4,45.3,45.3,45.3,45.4
15,37.5,45.4,45.3,45.3,45.3,45.4
16,37.5,45.4,45.3,45.3,45.3,45.4
17,37.5,45.4,45.3,45.3,45.3,45.4
18,37.5,45.4,45.3,45.3,45.3,45.4
19,37.6,45.4,45.3,45.3,45.3,45.4
20,37.6,45.4,45.3,45.3,45.3,45.4
21,37.6,45.5,45.3,45.3,45.3,45.4
22,37.6,45.5,45.3,45.3,45.3,45.4
23,37.6,45.4,45.3,45.4,45.3,45.4
24,37.6,45.4,45.3,45.4,45.3,45.4
25,37.6,45.4,45.3,45.4,45.3,45.4
26,37.6,45.4,45.4,45.4,45.4,45.4
27,37.6,45.4,45.4,45.4,45.4,45.4
28,37.6,45.4,45.4,45.4,45.4,45.5
29,37.6,45.4,45.4,45.4,45.4,45.5
30,37.6,45.4,45.4,45.4,45.4,45.5
31,37.7,45.5,45.4,45.4,45.4,45.4
32,37.7,45.5,45.4,45.4,45.4,45.4
33,37.7,45.5,45.4,45.4,45.4,45.5
34,37.7,45.5,45.4,45.4,45.4,45.5
35,37.7,45.5,45.4,45.4,45.4,45.5
36,37.7,45.5,45.4,45.4,45.4,45.5
37,37.7,45.5,45.4,45.4,45.4,45.5
38,37.7,45.5,45.4,45.4,45.4,45.5
39,37.7,45.5,45.4,45.4,45.4,45.5
40,37.7,45.5,45.4,45.4,45.4,45.5
41,37.7,45.5,45.4,45.4,45.4,45.5
42,37.7,45.5,45.4,45.4,45.4,45.5
43,37.7,45.5,45.4,45.4,45.4,45.5
44,37.7,45.5,45.4,45.4,45.4,45.5
45,37.7,45.5,45.4,45.4,45.4,45.5
46,37.7,45.5,45.4,45.4,45.4,45.5
47,37.7,45.5,45.4,45.4,45.4,45.5
48,37.7,45.5,45.5,45.5,45.5,45.5
49,37.7,45.7,45.7,45.7,45.7,45.8
50,37.7,45.9,45.9,45.9,45.9,45.9
51,37.7,45.9,45.8,45.8,45.8,45.9
52,37.7,45.9,45.8,45.8,45.8,45.9
53,37.7,45.9,45.8,45.8,45.8,45.9
54,37.7,45.9,45.8,45.8,45.8,45.9
55,37.7,45.9,45.8,45.8,45.8,45.9
56,37.7,45.9,45.8,45.8,45.8,45.9
57,37.7,45.9,45.8,45.8,45.8,45.9
58,37.7,45.8,45.8,45.8,45.8,45.8
59,37.7,45.6,45.5,45.6,45.5,45.6
60,37.7,45.4,45.4,45.4,45.4,45.4
61,37.7,45.5,45.4,45.4,45.4,45.5
62,37.7,45.5,45.5,45.5,45.5,45.5
63,37.7,45.5,45.4,45.4,45.4,45.5
64,37.7,45.5,45.4,45.4,45.4,45.5
