,neutral,z1,z2,z3,z4,z5
0,37.8,37.6,37.7,37.6,37.6,37.6
1,37.8,37.7,37.7,37.7,37.7,37.7
2,37.8,38.7,38.7,38.7,38.7,38.8
3,37.8,41.8,41.5,41.6,41.7,42.1
4,37.7,43.2,43.1,43.1,43.2,43.4
5,37.7,42.3,42.4,42.4,42.3,42.2
6,37.7,41.9,41.9,41.9,41.9,42.1
7,37.7,42.4,42.2,42.3,42.4,42.9
8,37.7,42.3,42.3,42.3,42.3,42.8
9,37.7,42.2,42.2,42.2,42.2,42.2
10,37.7,42.3,42.2,42.3,42.3,42.3
11,37.7,42.4,42.3,42.3,42.3,42.5
12,37.7,42.3,42.3,42.3,42.3,42.3
13,37.7,42.3,42.3,42.3,42.3,42.4
14,37.7,42.4,42.3,42.3,42.3,42.5
15,37.7,42.3,42.3,42.3,42.3,42.4
16,37.7,42.3,42.3,42.3,42.3,42.4
17,37.7,42.3,42.3,42.3,42.3,42.5
18,37.7,42.3,42.3,42.3,42.3,42.5
19,37.7,42.3,42.3,42.3,42.3,42.4
20,37.7,42.4,42.3,42.3,42.3,42.4
21,37.7,42.3,42.3,42.3,42.3,42.4
22,37.7,42.4,42.3,42.3,42.3,42.4
23,37.7,42.4,42.3,42.3,42.3,42.4
24,37.7,42.4,42.3,42.3,42.3,42.4
25,37.7,42.3,42.3,42.3,42.3,42.4
26,37.7,42.3,42.3,42.3,42.3,42.4
27,37.7,42.4,42.3,42.4,42.3,42.4
28,37.8,42.4,42.3,42.3,42.3,42.4
29,37.7,42.4,42.3,42.3,42.3,42.4
30,37.7,42.4,42.3,42.3,42.3,42.4
31,37.7,42.4,42.3,42.3,42.3,42.4
32,37.7,42.4,42.3,42.4,42.3,42.4
33,37.7,42.4,42.3,42.4,42.3,42.4
34,37.7,42.4,42.3,42.4,42.3,42.4
35,37.8,42.4,42.3,42.4,42.3,42.4
36,37.8,42.4,42.3,42.4,42.3,42.4
37,37.8,42.4,42.3,42.4,42.3,42.4
38,37.8,42.4,42.3,42.4,42.3,42.4
39,37.8,42.4,42.3,42.4,42.3,42.4
40,37.8,42.4,42.4,42.4,42.3,42.4
41,37.8,42.4,42.4,42.4,42.3,42.4
42,37.8,42.4,42.4,42.4,42.3,42.4
43,37.8,42.4,42.4,42.4,42.3,42.4
44,37.8,42.4,42.4,42.4,42.3,42.4
45,37.8,42.4,42.4,42.4,42.4,42.4
46,37.8,42.4,42.4,42.4,42.4,42.4
47,37.8,42.4,42.4,42.4,42.4,42.4
48,37.8,42.4,42.4,42.4,42.4,42.4
49,37.8,42.4,42.4,42.4,42.4,42.4
50,37.8,42.4,42.4,42.4,42.4,42.4
51,37.8,42.4,42.4,42.4,42.4,42.4
52,37.8,42.4,42.4,42.4,42.4,42.4
53,37.8,42.4,42.4,42.4,42.4,42.4
54,37.8,42.4,42.4,42.4,42.4,42.4
55,37.8,42.4,42.4,42.4,42.4,42.4
56,37.8,42.4,42.4,42.4,42.4,42.4
57,37.8,42.4,42.4,42.4,42.4,42.4
58,37.8,42.4,42.4,42.4,42.4,42.4
59,37.8,42.4,42.4,42.4,42.4,42.4
60,37.8,42.4,42.4,42.4,42.4,42.4
61,37.8,42.4,42.4,42.4,42.4,42.4
62,37.8,42.4,42.4,42.4,42.4,42.4
63,37.8,42.4,42.4,42.4,42.4,42.4
64,37.8,42.4,42.4,42.4,42.4,42.4
65,37.8,42.4,42.4,42.4,42.4,42.4
66,37.8,42.4,42.4,42.4,42.4,42.4
67,37.8,42.4,42.4,42.4,42.4,42.4
68,37.8,42.4,42.4,42.4,42.4,42.4
69,37.8,42.4,42.4,42.4,42.4,42.4
70,37.8,42.4,42.4,42.4,42.4,42.4
71,37.8,42.4,42.4,42.4,42.4,42.4
72,37.8,42.4,42.4,42.4,42.4,42.4
73,37.8,42.4,42.4,42.4,42.4,42.4
74,37.8,42.4,42.4,42.4,42.4,42.4
75,37.8,42.4,42.4,42.4,42.4,42.5
76,37.8,42.4,42.4,42.4,42.4,42.5
77,37.8,42.4,42.4,42.4,42.4,42.5
78,37.8,42.4,42.4,42.4,42.4,42.5
79,37.8,42.4,42.4,42.4,42.4,42.5
80,37.8,42.4,42.4,42.4,42.4,42.5
81,37.8,42.4,42.4,42.4,42.4,42.5
82,37.8,42.4,42.4,42.4,42.4,42.5
83,37.8,42.4,42.4,42.4,42.4,42.5
84,37.8,42.4,42.4,42.4,42.4,42.5
85,37.8,42.4,42.4,42.4,42.4,42.5
86,37.8,42.4,42.4,42.4,42.4,42.5
87,37.8,42.4,42.4,42.4,42.4,42.5
88,37.8,42.4,42.4,42.4,42.4,42.5
89,37.8,42.4,42.4,42.4,42.4,42.5
90,37.8,42.4,42.4,42.4,42.4,42.5
91,37.8,42.4,42.4,42.4,42.4,42.5
92,37.8,42.4,42.4,42.4,42.4,42.5
93,37.8,42.4,42.4,42.4,42.4,42.4
94,37.8,42.4,42.4,42.4,42.4,42.4
95,37.8,42.5,42.4,42.4,42.4,42.4
96,37.8,42.4,42.4,42.4,42.4,42.4
97,37.8,42.4,42.4,42.4,42.4,42.4
98,37.8,42.4,42.4,42.4,42.4,42.4
99,37.8,42.4,42.4,42.4,42.4,42.4
100,37.8,42.2,42.2,42.2,42.2,42.2
101,37.8,40.0,40.3,40.2,40.1,39.9
102,37.9,37.4,37.8,37.7,37.6,37.2
103,38.0,37.5,37.5,37.5,37.5,37.5
104,38.0,38.4,38.3,38.3,38.3,38.4
105,38.1,38.0,38.3,38.3,38.2,37.9
106,38.1,37.6,38.0,38.0,37.9,37.5
107,38.1,37.9,38.1,38.1,38.0,37.9
108,38.1,38.2,38.2,38.2,38.2,38.3
109,38.1,38.2,38.1,38.1,38.2,38.2
110,38.1,38.1,38.1,38.1,38.1,38.1
111,38.0,38.1,38.1,38.1,38.1,38.0
