trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,discrimin_resp.started,percu_or.started,responser.started,thermode_locali_pic.stopped,discrimin_resp.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,pic_a_utiliser,threshold,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,201.15571719995933,,0.020638399990275502,201.13918719999492,201.13952399999835,206.13913689996116,206.13914159999695,206.1559077000129,214.13928289996693,214.13928289996693,214.13928289996693,216.35586760001024,217.13924799999222,217.13924799999222,217.13924799999222,217.12259779998567,3.86,4.94,386,494,8,3,1.2,0.75,466,0,474,0.8,1,m,1.0425291999708861,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
1,0,1,0,217.13924799999222,,,,217.1237528999918,222.12263699999312,222.12264189997222,222.1392496000044,230.1393434999627,230.1393434999627,230.1393434999627,232.33940549998078,233.13942119997228,233.13942119997228,233.13942119997228,233.12281380000059,3.66,5.14,366,514,8,3,1.2,0.75,466,1,470,0.4,1,m,0.44247499998891726,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
2,0,2,0,233.13942119997228,,,,233.12370259995805,238.12281059997622,238.12281550001353,238.13954110001214,246.12274859996978,246.12274859996978,246.12274859996978,248.3396266999771,249.12287520000245,249.12287520000245,249.12287520000245,249.10633889999008,3.25,5.55,325,555,8,3,1.2,0.75,466,2,469,0.3,0,n,0.6230979000101797,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
3,0,3,0,249.12287520000245,,,,249.1072650999995,254.10633719997713,254.10634210001444,254.12300739996135,262.1063822999713,262.1063822999713,262.1063822999713,264.3230803000042,265.10646809998434,265.10646809998434,265.10646809998434,265.089813700004,3.6,5.2,360,520,8,3,1.2,0.75,466,3,472,0.6,1,m,0.8632519000093453,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
4,0,4,0,265.10646809998434,,,,265.09069019998424,270.0898486999795,270.08985369995935,270.1065291999839,278.08985089999624,278.08985089999624,278.08985089999624,280.30652669997653,281.0899635999813,281.0899635999813,281.0899635999813,281.07331179996254,3.45,5.35,345,535,8,3,1.2,0.75,466,0,472,0.6,0,n,0.2679233999806456,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
5,0,5,0,281.0899635999813,,,,281.0741975000128,286.0733109000139,286.07331569999224,286.0900525999605,294.07334409997566,294.07334409997566,294.07334409997566,296.2901508999639,297.073405299976,297.073405299976,297.073405299976,297.056855599978,4.67,4.13,467,413,8,3,1.2,0.75,466,1,475,0.8999999999999999,1,m,0.4564054000074975,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
6,0,6,0,297.073405299976,,,,297.05772350000916,302.0568597000092,302.0568646999891,302.07343029999174,310.0569163999753,310.0569163999753,310.0569163999753,312.27358229999663,313.05693439999595,313.05693439999595,313.05693439999595,313.0403451999882,3.98,4.82,398,482,8,3,1.2,0.75,466,2,475,0.8999999999999999,1,m,0.448830800014548,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
7,0,7,0,313.05693439999595,,,,313.0412619999843,318.0403672999819,318.04037229996175,318.05697089998284,326.04036039998755,326.04036039998755,326.04036039998755,328.25708660000237,329.04044959996827,329.04044959996827,329.04044959996827,329.023810099985,4.68,4.12,468,412,8,3,1.2,0.75,466,3,473,0.7,0,n,0.45337450003717095,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
8,0,8,0,329.04044959996827,,,,329.0247151000076,334.0238695999724,334.0238743000082,334.04054929997073,342.02391190000344,342.02391190000344,342.02391190000344,344.24057449999964,345.0239064999623,345.0239064999623,345.0239064999623,345.007295599964,3.71,5.09,371,509,8,3,1.2,0.75,466,0,474,0.7999999999999999,1,m,0.46978659997694194,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
9,0,9,0,345.0239064999623,,,,345.0081935999915,350.0073102999595,350.007314699993,350.0239825999597,358.00741239998024,358.00741239998024,358.00741239998024,360.2240801999578,361.00742499995977,361.00742499995977,361.00742499995977,360.9908369999612,3.64,5.16,364,516,8,3,1.2,0.75,466,1,474,0.7999999999999999,0,n,0.690343499998562,None,,,,,,,,sub-080,COM3,46.6,2026-05-25_10h31.33.021,2024_RDpaindiscrimination_QUEST,2023.2.3,59.99754011006313,2026-05-25 10h31.41.895090 -0400,
